,NumandName,market,product,Num,Name
195,1817　凱撒衛,上市,玻璃陶瓷,1817,凱撒衛
196,1903　士紙,上市,造紙工業,1903,士紙
197,1904　正隆,上市,造紙工業,1904,正隆
198,1905　華紙,上市,造紙工業,1905,華紙
199,1906　寶隆,上市,造紙工業,1906,寶隆
200,1907　永豐餘,上市,造紙工業,1907,永豐餘
201,1909　榮成,上市,造紙工業,1909,榮成
202,2002　中鋼,上市,鋼鐵工業,2002,中鋼
203,2006　東和鋼鐵,上市,鋼鐵工業,2006,東和鋼鐵
204,2007　燁興,上市,鋼鐵工業,2007,燁興
205,2008　高興昌,上市,鋼鐵工業,2008,高興昌
206,2009　第一銅,上市,鋼鐵工業,2009,第一銅
207,2010　春源,上市,鋼鐵工業,2010,春源
208,2012　春雨,上市,鋼鐵工業,2012,春雨
209,2013　中鋼構,上市,鋼鐵工業,2013,中鋼構
210,2014　中鴻,上市,鋼鐵工業,2014,中鴻
211,2015　豐興,上市,鋼鐵工業,2015,豐興
212,2017　官田鋼,上市,鋼鐵工業,2017,官田鋼
213,2020　美亞,上市,鋼鐵工業,2020,美亞
214,2022　聚亨,上市,鋼鐵工業,2022,聚亨
215,2023　燁輝,上市,鋼鐵工業,2023,燁輝
216,2024　志聯,上市,鋼鐵工業,2024,志聯
217,2025　千興,上市,鋼鐵工業,2025,千興
218,2027　大成鋼,上市,鋼鐵工業,2027,大成鋼
219,2028　威致,上市,鋼鐵工業,2028,威致
220,2029　盛餘,上市,鋼鐵工業,2029,盛餘
221,2030　彰源,上市,鋼鐵工業,2030,彰源
222,2031　新光鋼,上市,鋼鐵工業,2031,新光鋼
223,2032　新鋼,上市,鋼鐵工業,2032,新鋼
224,2033　佳大,上市,鋼鐵工業,2033,佳大
225,2034　允強,上市,鋼鐵工業,2034,允強
226,2038　海光,上市,鋼鐵工業,2038,海光
227,2049　上銀,上市,電機機械,2049,上銀
228,2059　川湖,上市,電子零組件業,2059,川湖
229,2062　橋椿,上市,其他業,2062,橋椿
230,2069　運錩,上市,鋼鐵工業,2069,運錩
231,2101　南港,上市,橡膠工業,2101,南港
232,2102　泰豐,上市,橡膠工業,2102,泰豐
233,2103　台橡,上市,橡膠工業,2103,台橡
234,2104　國際中橡,上市,橡膠工業,2104,國際中橡
235,2105　正新,上市,橡膠工業,2105,正新
236,2106　建大,上市,橡膠工業,2106,建大
237,2107　厚生,上市,橡膠工業,2107,厚生
238,2108　南帝,上市,橡膠工業,2108,南帝
239,2109　華豐,上市,橡膠工業,2109,華豐
240,2114　鑫永銓,上市,橡膠工業,2114,鑫永銓
241,2115　六暉-KY,上市,汽車工業,2115,六暉-KY
242,2201　裕隆,上市,汽車工業,2201,裕隆
243,2204　中華,上市,汽車工業,2204,中華
244,2206　三陽工業,上市,汽車工業,2206,三陽工業
245,2207　和泰車,上市,汽車工業,2207,和泰車
246,2208　台船,上市,航運業,2208,台船
247,2211　長榮鋼,上市,鋼鐵工業,2211,長榮鋼
248,2227　裕日車,上市,汽車工業,2227,裕日車
249,2228　劍麟,上市,汽車工業,2228,劍麟
250,2231　為升,上市,汽車工業,2231,為升
251,2233　宇隆,上市,汽車工業,2233,宇隆
252,2236　百達-KY,上市,汽車工業,2236,百達-KY
253,2239　英利-KY,上市,汽車工業,2239,英利-KY
254,2241　艾姆勒,上市,汽車工業,2241,艾姆勒
255,2243　宏旭-KY,上市,汽車工業,2243,宏旭-KY
256,2247　汎德永業,上市,汽車工業,2247,汎德永業
257,2250　IKKA-KY,上市,汽車工業,2250,IKKA-KY
258,2301　光寶科,上市,電腦及週邊設備業,2301,光寶科
259,2302　麗正,上市,半導體業,2302,麗正
260,2303　聯電,上市,半導體業,2303,聯電
261,2305　全友,上市,電腦及週邊設備業,2305,全友
262,2308　台達電,上市,電子零組件業,2308,台達電
263,2312　金寶,上市,其他電子業,2312,金寶
264,2313　華通,上市,電子零組件業,2313,華通
265,2314　台揚,上市,通信網路業,2314,台揚
266,2316　楠梓電,上市,電子零組件業,2316,楠梓電
267,2317　鴻海,上市,其他電子業,2317,鴻海
268,2321　東訊,上市,通信網路業,2321,東訊
269,2323　中環,上市,光電業,2323,中環
270,2324　仁寶,上市,電腦及週邊設備業,2324,仁寶
271,2327　國巨,上市,電子零組件業,2327,國巨
272,2328　廣宇,上市,電子零組件業,2328,廣宇
273,2329　華泰,上市,半導體業,2329,華泰
274,2330　台積電,上市,半導體業,2330,台積電
275,2331　精英,上市,電腦及週邊設備業,2331,精英
276,2332　友訊,上市,通信網路業,2332,友訊
277,2337　旺宏,上市,半導體業,2337,旺宏
278,2338　光罩,上市,半導體業,2338,光罩
279,2340　台亞,上市,半導體業,2340,台亞
280,2342　茂矽,上市,半導體業,2342,茂矽
281,2344　華邦電,上市,半導體業,2344,華邦電
282,2345　智邦,上市,通信網路業,2345,智邦
283,2347　聯強,上市,電子通路業,2347,聯強
284,2348　海悅,上市,其他業,2348,海悅
285,2349　錸德,上市,光電業,2349,錸德
286,2351　順德,上市,半導體業,2351,順德
287,2352　佳世達,上市,電腦及週邊設備業,2352,佳世達
